Date,Close,Volume
2010-08-05,253.6666,110901600
2010-08-06,252.4949,118680704
2010-08-09,254.6891,86202288
2010-08-10,252.6226,108522704
2010-08-11,245.7471,120070896
2010-08-12,244.8374,111348400
2010-08-13,242.2663,94133264
2010-08-16,242.2887,95274704
2010-08-17,245.886,105409904
2010-08-18,248.1648,104276304
2010-08-19,243.7206,118882600
2010-08-20,243.2862,125224496
2010-08-23,241.2954,97752784
2010-08-24,237.1824,146270400
2010-08-25,239.4897,134506400
2010-08-26,237.7684,117362704
2010-08-27,241.4633,123310704
2010-08-30,237.156,88698112
2010-08-31,237.4224,150599392
2010-09-01,245.4309,131311696
2010-09-02,249.8434,105800600
2010-09-03,253.6192,100633000
2010-09-07,249.5346,88190408
2010-09-08,251.2124,98115232
2010-09-09,251.3707,83652608
2010-09-10,253.669,79693592
2010-09-13,256.5575,97531312
2010-09-14,256.9048,100634704
2010-09-15,257.5042,104374496
2010-09-16,257.3258,116619296
2010-09-17,258.129,203458704
2010-09-20,263.0667,105326800
2010-09-21,261.9655,109107904
2010-09-22,260.2345,101070600
2010-09-23,258.9101,104967696
2010-09-24,265.6442,108058096
2010-09-27,263.956,92958976
2010-09-28,265.9356,113545400
2010-09-29,264.2025,101837000
2010-09-30,263.5279,127892704
2010-10-01,263.763,107603800
2010-10-04,263.1232,111530000
2010-10-05,268.5547,124549696
2010-10-06,267.1133,115422704
2010-10-07,267.7733,102907800
2010-10-08,270.6711,119098496
2010-10-11,270.9514,89206712
2010-10-12,271.4301,98656520
2010-10-13,271.9712,111986200
2010-10-14,271.5683,116130600
2010-10-15,273.3943,156166592
2010-10-18,272.9682,100348400
2010-10-19,268.9492,141142496
2010-10-20,272.1454,118818704
2010-10-21,274.0815,120544600
2010-10-22,275.462,84190416
2010-10-25,277.0085,117441800
2010-10-26,278.0933,117112096
2010-10-27,276.7415,111773000
2010-10-28,277.8394,110721000
2010-10-29,277.4999,112295200
2010-11-01,277.4319,100682600
2010-11-02,280.3542,94697872
2010-11-03,281.662,135750000
2010-11-04,286.0274,161136496
2010-11-05,287.5348,118294096
2010-11-08,287.17,96673528
2010-11-09,284.6174,95242256
2010-11-10,286.9879,110496600
2010-11-11,286.5764,102195000
2010-11-12,283.8276,111075504
2010-11-15,283.097,116158896
2010-11-16,279.3655,146308000
2010-11-17,281.4239,113322400
2010-11-18,283.8475,125015200
2010-11-19,285.4218,127122704
2010-11-22,286.3553,94571800
2010-11-23,282.2659,107466304
2010-11-24,287.9725,102963200
2010-11-26,286.6472,45071300
2010-11-29,284.8859,101253600
2010-11-30,284.1824,155775392
2010-12-01,290.0012,121717696
2010-12-02,293.8583,124154200
2010-12-03,294.4585,97029936
2010-12-06,294.4393,77765840
2010-12-07,294.3133,111547800
2010-12-08,294.1625,118264704
2010-12-09,294.1031,89272608
2010-12-10,295.0675,83591360
2010-12-13,293.4691,90149776
2010-12-14,293.4399,102073200
2010-12-15,292.295,102746200
2010-12-16,294.5439,87230992
2010-12-17,294.8646,233666304
2010-12-20,296.6472,74609216
2010-12-21,298.2067,74577936
2010-12-22,298.461,64651300
2010-12-23,297.2853,55368960
2010-12-27,296.4193,48619780
2010-12-28,295.7495,54311000
2010-12-29,296.4734,49894200
2010-12-30,296.2443,43837700
2010-12-31,295.537,54335320
2011-01-03,299.1772,106154800
2011-01-04,297.4143,117378704
2011-01-05,299.7656,110438704
2011-01-06,297.7225,114346200
2011-01-07,297.6142,110631800
2011-01-10,297.6135,98199792
2011-01-11,297.4611,99374392
2011-01-12,298.1913,85348304
2011-01-13,297.6722,90750408
2011-01-14,299.5502,86363080
2011-01-18,300.326,91022352
2011-01-19,297.3611,102180704
2011-01-20,298.0148,116376704
2011-01-21,298.3322,116602200
2011-01-24,299.9768,85975680
2011-01-25,299.9898,93271608
2011-01-26,300.3618,102693800
2011-01-27,302.6719,102749200
2011-01-28,293.1292,161766896
2011-01-31,293.4183,139716992
2011-02-01,297.0247,103645200
2011-02-02,296.3282,108075904
2011-02-03,299.7672,119601904
2011-02-04,301.7507,91151376
2011-02-07,303.3673,85928192
2011-02-08,306.963,85228632
2011-02-09,308.7715,98789728
2011-02-10,309.4104,96557024
2011-02-11,312.3369,101305104
2011-02-14,311.0797,79048624
2011-02-15,311.4967,90576096
2011-02-16,313.9961,97926144
2011-02-17,314.3982,86950816
2011-02-18,315.7903,127885000
2011-02-22,308.2749,123632400
2011-02-23,303.7054,133167296
2011-02-24,305.1844,122460600
2011-02-25,308.4055,97544320
2011-02-28,310.3665,116070496
2011-03-01,304.9449,116518600
2011-03-02,306.1278,99162096
2011-03-03,311.2266,100388000
2011-03-04,309.0743,104267800
2011-03-07,306.0557,112866704
2011-03-08,308.0972,105598704
2011-03-09,308.7295,89215536
2011-03-10,305.5282,120364496
2011-03-11,307.118,93001872
2011-03-14,303.6845,96293688
2011-03-15,301.1387,121721296
2011-03-16,296.0838,145077504
2011-03-17,297.4409,97436560
2011-03-18,297.2546,181803392
2011-03-21,301.5522,85272240
2011-03-22,299.2011,77646320
2011-03-23,301.7248,87089296
2011-03-24,306.0896,97130648
2011-03-25,306.7796,83643616
2011-03-28,303.5046,84956712
2011-03-29,306.3246,82812752
2011-03-30,309.599,86362360
2011-03-31,308.3963,98026784
2011-04-01,310.6349,100368400
2011-04-04,311.0595,80223776
2011-04-05,312.2599,93588144
2011-04-06,311.5842,86737248
2011-04-07,310.5431,96577952
2011-04-08,308.8109,89298416
2011-04-11,308.5792,81845440
2011-04-12,308.0921,88956560
2011-04-13,309.1231,90135480
2011-04-14,308.3462,85107480
2011-04-15,310.1908,110412400
2011-04-18,307.2903,92182816
2011-04-19,308.073,77843040
2011-04-20,313.4099,93328656
2011-04-21,315.4092,79037344
2011-04-25,314.7529,71195344
2011-04-26,315.5837,100547000
2011-04-27,319.1377,97526944
2011-04-28,320.5103,94792816
2011-04-29,320.3835,131410304
2011-05-02,321.3803,91727592
2011-05-03,319.7513,87245184
2011-05-04,318.5443,105295504
2011-05-05,317.9567,113377600
2011-05-06,318.0098,97207456
2011-05-09,318.4934,74607112
2011-05-10,322.4776,78845184
2011-05-11,319.8371,104142600
2011-05-12,322.5849,92891168
2011-05-13,320.3942,84909728
2011-05-16,315.8346,96300352
2011-05-17,316.2772,100768304
2011-05-18,319.9205,106790800
2011-05-19,320.9795,95388144
2011-05-20,317.9318,109919904
2011-05-23,314.9544,94353056
2011-05-24,313.2876,91799152
2011-05-25,313.3284,99207504
2011-05-26,315.8557,107074600
2011-05-27,316.8479,74763272
2011-05-31,318.9123,138989408
2011-06-01,311.6333,122493296
2011-06-02,310.9213,111467696
2011-06-03,306.6227,110182496
2011-06-06,303.6172,100357696
2011-06-07,303.9941,113797800
2011-06-08,301.5215,113044400
2011-06-09,303.8413,96660064
2011-06-10,298.2448,113679000
2011-06-13,297.7679,100310704
2011-06-14,302.941,104207600
2011-06-15,298.4607,109014600
2011-06-16,297.8324,111800704
2011-06-17,299.8846,175476608
2011-06-20,302.4843,79269032
2011-06-21,308.5568,88059744
2011-06-22,306.0881,87489456
2011-06-23,307.2927,117431504
2011-06-24,304.2044,148928800
2011-06-27,307.9399,83463184
2011-06-28,313.6905,85255456
2011-06-29,314.9959,93929528
2011-06-30,317.89,114116704
2011-07-01,324.1569,87725392
2011-07-05,325.4383,85907504
2011-07-06,324.4866,96801168
2011-07-07,328.8142,100906496
2011-07-08,326.7867,96831840
2011-07-11,320.3661,103398000
